2026-02-12T10:57:32.035Z info: Code: 200 | Message: Jeu créer 
2026-02-12T11:06:03.310Z info: Code: 200 | Message: Jeu créer 
2026-02-12T11:06:04.487Z info: Code: 200 | Message: Jeu créer 
2026-02-12T11:06:33.170Z info: Code: 200 | Message: Jeu créer 
2026-02-12T11:06:34.410Z info: Code: 200 | Message: Jeu créer 
2026-02-12T12:07:43.243Z info: Code: 200 | Message: Jeu créer 
2026-02-12T12:16:15.413Z info: Code: 200 | Message: Jeu créer 
2026-02-12T12:18:27.101Z info: Code: 200 | Message: Jeu créer 
2026-02-12T12:18:33.169Z info: Code: 200 | Message: Jeu créer 
2026-02-12T12:22:39.170Z info: Code: 200 | Message: Jeu créer 
2026-02-12T12:23:22.886Z info: Code: 200 | Message: Jeu créer 
2026-02-12T12:24:47.483Z info: Code: 200 | Message: Jeu créer 
2026-02-12T12:29:30.170Z info: Code: 200 | Message: Jeu supprimer 
2026-02-12T12:30:01.353Z info: Code: 200 | Message: Jeu supprimer 
2026-02-12T12:33:02.150Z info: Code: 404 | Message: Jeu non trouvé 
2026-02-12T12:33:22.270Z info: Code: 404 | Message: Jeu non trouvé 
2026-02-12T12:35:13.118Z info: Code: 404 | Message: Jeu non trouvé 
2026-02-12T12:35:15.024Z info: Code: 404 | Message: Jeu non trouvé 
2026-02-12T12:38:03.249Z info: Code: 404 | Message: Jeu non trouvé 
2026-02-12T12:38:39.690Z info: Code: 404 | Message: Jeu non trouvé 
2026-02-12T12:38:41.091Z info: Code: 404 | Message: Jeu non trouvé 
2026-02-12T12:43:12.749Z info: Code: 404 | Message: Jeu non trouvé 
2026-02-12T12:43:33.225Z info: Code: 404 | Message: Jeu non trouvé 
2026-02-12T12:44:25.073Z info: Code: 404 | Message: Jeu non trouvé 
2026-02-12T12:46:42.956Z info: Code: 404 | Message: Jeu non trouvé 
2026-02-12T12:47:08.714Z info: Code: 404 | Message: Jeu non trouvé 
2026-02-12T12:49:00.485Z info: Code: 404 | Message: Jeu non trouvé 
2026-02-12T12:49:04.579Z info: Code: 404 | Message: Jeu non trouvé 
2026-02-12T12:49:45.271Z info: Code: 404 | Message: Jeu non trouvé 
2026-02-12T12:50:47.311Z info: Code: 404 | Message: Jeu non trouvé 
2026-02-12T12:51:03.454Z info: Code: 404 | Message: Jeu non trouvé 
2026-02-12T12:53:36.761Z info: Code: 404 | Message: Jeu non trouvé 
2026-02-12T12:53:42.806Z info: Code: 404 | Message: Jeu non trouvé 
2026-02-12T12:54:57.145Z info: Code: 200 | Message: Jeu supprimer 
2026-02-12T12:54:59.766Z info: Code: 404 | Message: Jeu non trouvé 
2026-02-12T12:56:03.362Z info: Code: 200 | Message: Ca marche 
2026-02-12T12:59:27.178Z info: Code: 200 | Message: Jeu supprimer 
2026-02-12T12:59:33.477Z info: Code: 200 | Message: Jeu supprimer 
2026-02-12T13:00:24.687Z info: Code: 200 | Message: Jeu supprimer 
2026-02-12T13:00:54.490Z info: Code: 200 | Message: Jeu trouvé 
2026-02-12T13:06:20.973Z info: Code: 200 | Message: Jeu supprimer 
2026-02-12T13:06:24.490Z info: Code: 200 | Message: Jeu supprimer 
2026-02-12T13:07:04.868Z info: Code: 200 | Message: Jeu supprimer 
2026-02-12T13:07:07.171Z info: Code: 200 | Message: Jeu supprimer 
2026-02-12T13:07:13.037Z info: Code: 200 | Message: Jeu supprimer 
2026-02-12T13:07:15.168Z info: Code: 200 | Message: Jeu supprimer 
